time,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2,inertia1,inertia2,coriolis1,coriolis2,gravity1,gravity2,tau_model1,tau_model2,residual1,residual2,residual_norm
1.8780000000000001,9.304746152737001,-14.613884790512389,8.607768523694144,-18.967095197784253,0.5521149609798612,95.99574775414075,-0.805001496471037,0.32337371710458007,0.31543797179228883,0.4504257240834288,0.09799946864173378,-0.2185644357497635,-1.2184389369050597,0.09151242877091474,-0.805001496471037,0.32337371710458,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.879,9.313354473375657,-14.632755889962418,8.608320638655124,-18.871099450030112,1.1421292384892698,95.21607596968754,-0.8057209232270413,0.3250438399444356,0.32146766118328396,0.4485771483485854,0.09118431412451626,-0.21642329781333122,-1.2183728985348414,0.09288998940918133,-0.8057209232270413,0.32504383994443553,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.8800000000000001,9.32196393614355,-14.651531773336478,8.609462767893614,-18.775883374060424,1.7232984593021485,94.44748107780119,-0.8063738987600989,0.3266890917556924,0.32736242731260234,0.446689537846806,0.08449610036681045,-0.2142454163747432,-1.2182324264395117,0.09424497028362958,-0.8063738987600989,0.3266890917556924,0.0,0.0,0.0
1.881,9.330575122209904,-14.67021320922946,8.611186066352916,-18.681435892982623,2.2953352600140655,93.68961663207813,-0.8069601915082116,0.32830962929595026,0.3331174651372377,0.44476334197599027,0.07793964776038592,-0.21203124369675636,-1.2180173044058353,0.09557753101671633,-0.8069601915082116,0.32830962929595026,0.0,0.0,0.0
1.8820000000000001,9.339188603611516,-14.688800955505812,8.61348140161293,-18.587746276350547,2.8579596239183807,92.94211284876117,-0.8074795442583322,0.32990561464062884,0.3387281852924786,0.44279895616692605,0.07151956117283614,-0.2097811780523733,-1.217727290723647,0.09688783652607615,-0.8074795442583322,0.3299056146406289,0.0,5.551115123125783e-17,5.551115123125783e-17
1.883,9.347804942972754,-14.707295759669314,8.616339361236848,-18.494804163501787,3.4108988103317475,92.2045788639577,-0.8079316747671987,0.3314772150031296,0.3441902130314175,0.44079672546622034,0.06524023100777258,-0.2074955673077457,-1.2173621188063888,0.09817605684465504,-0.8079316747671987,0.33147721500312965,0.0,5.551115123125783e-17,5.551115123125783e-17
1.8840000000000001,9.356424693232801,-14.725698359253952,8.61975026004718,-18.40259958463783,3.9538873402579324,91.47660490066126,-0.8083162764047279,0.33302460255855565,0.34949938738651065,0.43875694806345683,0.059105834042957224,-0.2051747124493038,-1.2169214978341958,0.09944236694440263,-0.8083162764047279,0.33302460255855565,0.0,0.0,0.0
1.885,9.365048397380189,-14.74400948223369,8.623704147387437,-18.311122979737167,4.486667034251866,90.75776435173415,-0.8086330188198654,0.33454795427055495,0.3546517605217645,0.4366798787625482,0.05312033407781614,-0.20281887105508128,-1.216405113419446,0.1006869465630881,-0.8086330188198654,0.33454795427055506,0.0,1.1102230246251565e-16,1.1102230246251565e-16
1.8860000000000001,9.373676588194611,-14.762229847449076,8.62819081442169,-18.22036521538543,5.008987098330469,90.04761578444048,-0.8088815486287839,0.33604745172089145,0.3596435972439418,0.43456573239714075,0.047287482421918055,-0.2004282607100927,-1.2158126282946438,0.1019099800338434,-0.8088815486287839,0.33604745172089145,0.0,0.0,0.0
1.887,9.382309787996132,-14.780360165048677,8.63319980152002,-18.130317599600993,5.52060425376934,89.34570487155507,-0.8090614901252651,0.3375232809413726,0.36447137464123525,0.43241468718977877,0.041610818255995684,-0.19800306236546994,-1.215143683022496,0.10311165611706379,-0.8090614901252651,0.3375232809413726,0.0,0.0,0.0
1.8880000000000001,9.390948508401905,-14.798401136943406,8.638720405773789,-18.040971894729438,6.021282906617932,88.65156625352643,-0.8091724460130769,0.3389756322477984,0.3691317818179898,0.4302268880543662,0.036093668896902506,-0.19554342364089772,-1.2143978967279692,0.10429216783432986,-0.8091724460130769,0.33897563224779836,0.0,-5.551115123125783e-17,5.551115123125783e-17
1.889,9.399593250090586,-14.816353457271882,8.644741688680407,-17.95232032847591,6.510795352768714,87.96472533563856,-0.8092139981601016,0.3404047000756206,0.37362171969443614,0.42800244984127633,0.03073914999756614,-0.19304946206969634,-1.213574867852104,0.10545171230404067,-0.8092139981601016,0.3404047000756207,0.0,5.551115123125783e-17,5.551115123125783e-17
1.8900000000000001,9.408244502574618,-14.834217812875023,8.651252484033176,-17.86435560314027,6.9889220144223705,87.2847000236021,-0.8091857083739247,0.34181068281703986,0.3779383008408568,0.42574146052425255,0.025550165712499476,-0.19052126828569615,-1.212674174927281,0.1065904905784835,-0.8091857083739247,0.34181068281703986,0.0,0.0,0.0
1.891,9.416902743980666,-14.85199488377814,8.658241406047598,-17.77707090311667,7.455451703807808,86.61100240051084,-0.8090871191985424,0.34319378265928596,0.3820788493162779,0.42344398432803265,0.020529408858785896,-0.18795890915083507,-1.211695377373606,0.10770870748208833,-0.8090871191985423,0.3431937826592859,1.1102230246251565e-16,-5.551115123125783e-17,1.2412670766236366e-16
1.8920000000000001,9.425568440838417,-14.869685343678857,8.665696857751405,-17.69045990071616,7.910181910039428,85.94314034763008,-0.8089177547317782,0.3445542054238678,0.38604090048256257,0.4211100647954088,0.01567936110165946,-0.18536243082219256,-1.2106380163160002,0.1088065714506516,-0.8089177547317782,0.34455420542386783,0.0,5.551115123125783e-17,5.551115123125783e-17
1.893,9.434242047878078,-14.887289860439225,8.673607039661444,-17.60451676036853,8.35291910502787,85.28061911103825,-0.8086771214629509,0.3458921604065947,0.3898222007657237,0.41873972779222113,0.011002293192862823,-0.18273186175695866,-1.2095016154215374,0.10988429437133225,-0.8086771214629509,0.3458921604065947,0.0,0.0,0.0
1.8940000000000001,9.442924007836844,-14.904809096580482,8.681959958766472,-17.51923614125749,8.783479064405475,84.62294281572537,-0.8083647091302596,0.3472078602182118,0.3934207073373557,0.4163329844485704,0.006500265288882955,-0.18006721565361913,-1.2082856817564982,0.11094209142326057,-0.8083647091302595,0.3472078602182119,1.1102230246251565e-16,5.551115123125783e-17,1.2412670766236366e-16
